title,commentCount
Ask HN: Why are e-ink note-taking devices so expensive compared to iPads?,259
Ask HN: Is the Great Resignation in tech real? If so, why?,259
Ask HN: Has anybody shipped a web app at scale with 1 DB per account?,258
Ask HN: What are some examples of beautiful software?,258
Ask HN: What is your favorite CS paper?,257
Ask HN: What was your experience starting a tech consultancy?,257
Ask HN: Is it me or ...?,256
Ask HN: What are some interesting projects to reuse your old devices?,256
Ask HN: What's your favorite tech talk?,255
Ask HN: Amazon software engineers, how is the work culture now?,255
Ask HN: Why does Cloudflare/hCaptcha care so much about buses, boats and trains?,254
Ask HN: Please stop writing tutorials/tech articles on Medium,253
Ask HN: I'm disabled and out of money. Now what?,253
Ask HN: Have you set up a procedure to disclose your passwords in case of death?,253
Ask HN: Good C++ code bases to read?,253
Ask HN: With recent layoffs, how would you advise new grads entering the market?,253
Ask HN: Advice for a new and inexperienced tech lead?,251
Ask HN: Jack-of-all-trades of HN, how do you approach job search?,250
Ask HN: What's the recommended method of adding authentication to a REST API?,249
Ask HN: Help – Locked out of 10 years Gmail account,249
Ask HN: Best books read in 2022?,249
Ask HN: Do you find working on large distributed systems exhausting?,249
Ask HN: How Do You Read?,248
Ask HN: Building a side project that makes money. Where to start?,248
Ask HN: What do you think about “The Social Dilemma”?,248
Ask HN: What startup/technology is on your 'to watch' list?,248
Ask HN: What books have made the biggest impact on your mental models?,247
Ask HN: Who really gives your personal info to Intelius, Instant Checkmate, etc?,247
Ask HN: Anyone making money through algorithmic trading?,245
Ask HN: Those making over $1K/month on side projects, what did you make?,245
Ask HN: What do you use to keep track of bookmarks/notes/snippets?,245
Ask HN: Best passive income method for a solo developer?,244
Ask HN: What has been your most rewarding job or project and why?,244
Ask HN: Those making $500+/month on side projects in 2017 – Show and tell,244
Ask HN: What's the one thing that let you grow the most as a developer?,243
Ask HN: What made your favorite manager/supervisor/CEO so great?,242
Ask HN: What things do you wish you discovered earlier?,242
Ask HN: I'm So Lonely,242
Ask HN: Which companies give programmers offices?,241
Ask HN: Is web development still a viable career choice?,240
Ask HN: Why are there no open source 2d printers?,240
Ask HN: How Can I Learn Music Theory?,239
Ask HN: How does your company manage its encryption keys?,238
Ask HN: How can we destroy AMP?,238
Ask HN: Should I testify?,238
Ask HN: I need ideas to impress fifth graders with technology,237
Ask HN: Which books have made you a better thinker and problem solver?,237
Ask HN: What are some of the best documentaries you've seen?,237
Ask HN: What are your favorite books or essays written at least 100 years ago?,237
Ask HN: What do you use for authentication and authorization?,236
Ask HN: Is there a better way to document complex software architectures?,235
Ask HN: I've lost faith in myself as a developer, how do I get it back?,235
Ask HN: Failed interview, feeling unemployable and depressed – what do I do?,234
Ask HN: How to break anxiety/fear-avoidance cycle?,234
Ask HN: Should I unplug my laptop charger at 100%?,234
Ask HN: Please share your experience teaching your kids to program,234
Ask HN: Your Favourite HN Comment?,232
Ask HN: How were video games from the 90s so efficient?,232
Ask HN: What are you learning?,231
Ask HN: Examples of great landing pages?,231
Ask HN: Which is the most successful one-person business you heard of in 2019?,231
Ask HN: Anonymous person sent proof of SSH access to our production server,231
Ask HN: How to found a company as a single founder?,231
Ask HN: What inspires you to persevere through adversity?,231
Ask HN: HNers with multiple sclerosis, can we get in touch?,230
Ask HN: Advice about aging parents,230
Ask HN: What are some books where the reader learns by building one project?,229
Ask HN: What are best tools for web scraping?,229
